year,Home Team,Away Team,Home Team Goals,Away Team Goals
2014,MALAGA,ATHLETIC,1,0
2014,SEVILLA FC,VALENCIA,1,1
2014,GRANADA,DEPORTIVO,2,1
2014,ALMERIA,ESPANYOL,1,1
2014,EIBAR,REAL SOCIEDAD,1,0
2014,BARCELONA,ELCHE,3,0
2014,CELTA,GETAFE,3,1
2014,LEVANTE,VILLARREAL,0,2
2014,REAL MADRID,CORDOBA,2,0
2014,RAYO VALLECANO,ATLETICO MADRID,0,0
2014,GETAFE,ALMERIA,1,0
2014,VALENCIA,MALAGA,3,0
2014,ATHLETIC,LEVANTE,3,0
2014,CORDOBA,CELTA,1,1
2014,ATLETICO MADRID,EIBAR,2,1
2014,ESPANYOL,SEVILLA FC,1,2
2014,VILLARREAL,BARCELONA,0,1
2014,DEPORTIVO,RAYO VALLECANO,2,2
2014,REAL SOCIEDAD,REAL MADRID,4,2
2014,ELCHE,GRANADA,1,1
2014,ALMERIA,CORDOBA,1,1
2014,BARCELONA,ATHLETIC,2,0
2014,MALAGA,LEVANTE,0,0
2014,REAL MADRID,ATLETICO MADRID,1,2
2014,CELTA,REAL SOCIEDAD,2,2
2014,RAYO VALLECANO,ELCHE,2,3
2014,VALENCIA,ESPANYOL,3,1
2014,SEVILLA FC,GETAFE,2,0
2014,GRANADA,VILLARREAL,0,0
2014,EIBAR,DEPORTIVO,0,1
2014,ELCHE,EIBAR,0,2
2014,DEPORTIVO,REAL MADRID,2,8
2014,ATHLETIC,GRANADA,0,1
2014,ATLETICO MADRID,CELTA,2,2
2014,ESPANYOL,MALAGA,2,2
2014,REAL SOCIEDAD,ALMERIA,1,2
2014,VILLARREAL,RAYO VALLECANO,4,2
2014,CORDOBA,SEVILLA FC,1,3
2014,LEVANTE,BARCELONA,0,5
2014,GETAFE,VALENCIA,0,3
2014,REAL MADRID,ELCHE,5,1
2014,CELTA,DEPORTIVO,2,1
2014,ALMERIA,ATLETICO MADRID,0,1
2014,EIBAR,VILLARREAL,1,1
2014,RAYO VALLECANO,ATHLETIC,2,1
2014,MALAGA,BARCELONA,0,0
2014,SEVILLA FC,REAL SOCIEDAD,1,0
2014,GRANADA,LEVANTE,0,1
2014,ESPANYOL,GETAFE,2,0
2014,VALENCIA,CORDOBA,3,0
2014,ELCHE,CELTA,0,1
2014,VILLARREAL,REAL MADRID,0,2
2014,BARCELONA,GRANADA,6,0
2014,ATLETICO MADRID,SEVILLA FC,4,0
2014,LEVANTE,RAYO VALLECANO,0,2
2014,ATHLETIC,EIBAR,0,0
2014,GETAFE,MALAGA,1,0
2014,DEPORTIVO,ALMERIA,0,1
2014,REAL SOCIEDAD,VALENCIA,1,1
2014,CORDOBA,ESPANYOL,0,0
2014,GETAFE,CORDOBA,1,1
2014,VALENCIA,ATLETICO MADRID,3,1
2014,RAYO VALLECANO,BARCELONA,0,2
2014,EIBAR,LEVANTE,3,3
2014,MALAGA,GRANADA,2,1
2014,ALMERIA,ELCHE,2,2
2014,SEVILLA FC,DEPORTIVO,4,1
2014,CELTA,VILLARREAL,1,3
2014,ESPANYOL,REAL SOCIEDAD,2,0
2014,REAL MADRID,ATHLETIC,5,0
2014,GRANADA,RAYO VALLECANO,0,1
2014,LEVANTE,REAL MADRID,0,5
2014,ATHLETIC,CELTA,1,1
2014,BARCELONA,EIBAR,3,0
2014,CORDOBA,MALAGA,1,2
2014,ATLETICO MADRID,ESPANYOL,2,0
2014,DEPORTIVO,VALENCIA,3,0
2014,ELCHE,SEVILLA FC,0,2
2014,VILLARREAL,ALMERIA,2,0
2014,REAL SOCIEDAD,GETAFE,1,2
2014,CELTA,LEVANTE,3,0
2014,ALMERIA,ATHLETIC,0,1
2014,REAL MADRID,BARCELONA,3,1
2014,VALENCIA,ELCHE,3,1
2014,CORDOBA,REAL SOCIEDAD,1,1
2014,EIBAR,GRANADA,1,1
2014,MALAGA,RAYO VALLECANO,4,0
2014,ESPANYOL,DEPORTIVO,0,0
2014,SEVILLA FC,VILLARREAL,2,1
2014,GETAFE,ATLETICO MADRID,0,1
2014,DEPORTIVO,GETAFE,1,2
2014,GRANADA,REAL MADRID,0,4
2014,ATLETICO MADRID,CORDOBA,4,2
2014,BARCELONA,CELTA,0,1
2014,REAL SOCIEDAD,MALAGA,0,1
2014,ATHLETIC,SEVILLA FC,1,0
2014,VILLARREAL,VALENCIA,1,3
2014,LEVANTE,ALMERIA,2,1
2014,ELCHE,ESPANYOL,2,1
2014,RAYO VALLECANO,EIBAR,2,3
2014,CORDOBA,DEPORTIVO,0,0
2014,ALMERIA,BARCELONA,1,2
2014,GETAFE,ELCHE,0,0
2014,REAL MADRID,RAYO VALLECANO,5,1
2014,MALAGA,EIBAR,2,1
2014,CELTA,GRANADA,0,0
2014,SEVILLA FC,LEVANTE,1,1
2014,ESPANYOL,VILLARREAL,1,1
2014,VALENCIA,ATHLETIC,0,0
2014,REAL SOCIEDAD,ATLETICO MADRID,2,1
2014,ATHLETIC,ESPANYOL,3,1
2014,ATLETICO MADRID,MALAGA,3,1
2014,EIBAR,REAL MADRID,0,4
2014,BARCELONA,SEVILLA FC,5,1
2014,DEPORTIVO,REAL SOCIEDAD,0,0
2014,RAYO VALLECANO,CELTA,1,0
2014,LEVANTE,VALENCIA,2,1
2014,ELCHE,CORDOBA,2,2
2014,VILLARREAL,GETAFE,2,1
2014,GRANADA,ALMERIA,0,0
2014,REAL SOCIEDAD,ELCHE,3,0
2014,GETAFE,ATHLETIC,1,2
2014,ESPANYOL,LEVANTE,2,1
2014,MALAGA,REAL MADRID,1,2
2014,CELTA,EIBAR,0,1
2014,ATLETICO MADRID,DEPORTIVO,2,0
2014,SEVILLA FC,GRANADA,5,1
2014,CORDOBA,VILLARREAL,0,2
2014,VALENCIA,BARCELONA,0,1
2014,ALMERIA,RAYO VALLECANO,0,1
2014,ELCHE,ATLETICO MADRID,0,2
2014,ATHLETIC,CORDOBA,0,1
2014,REAL MADRID,CELTA,3,0
2014,DEPORTIVO,MALAGA,0,1
2014,RAYO VALLECANO,SEVILLA FC,0,1
2014,BARCELONA,ESPANYOL,5,1
2014,VILLARREAL,REAL SOCIEDAD,4,0
2014,GRANADA,VALENCIA,1,1
2014,EIBAR,ALMERIA,5,2
2014,LEVANTE,GETAFE,1,1
2014,ALMERIA,REAL MADRID,1,4
2014,GETAFE,BARCELONA,0,0
2014,VALENCIA,RAYO VALLECANO,3,0
2014,CORDOBA,LEVANTE,0,0
2014,MALAGA,CELTA,1,0
2014,ESPANYOL,GRANADA,2,1
2014,SEVILLA FC,EIBAR,0,0
2014,ATLETICO MADRID,VILLARREAL,0,1
