year,Home Team,Away Team,Home Team Goals,Away Team Goals
1999,Bordeaux,Bastia,3,2
1999,Monaco,St Etienne,2,2
1999,Auxerre,Nancy,2,1
1999,Lyon,Montpellier,1,2
1999,Marseille,Sedan,3,0
1999,Metz,Rennes,0,0
1999,Nantes,Le Havre,1,0
1999,Paris SG,Troyes,1,0
1999,Strasbourg,Lens,1,0
1999,Le Havre,Marseille,0,0
1999,Troyes,Lyon,1,2
1999,Bastia,Strasbourg,3,0
1999,Lens,Monaco,1,0
1999,Sedan,Nancy,3,1
1999,St Etienne,Nantes,0,2
1999,Metz,Auxerre,3,0
1999,Montpellier,Bordeaux,2,2
1999,Rennes,Paris SG,1,3
1999,Auxerre,Sedan,3,1
1999,Bordeaux,Troyes,4,0
1999,Monaco,Bastia,4,0
1999,Nancy,Le Havre,3,0
1999,Nantes,Lens,0,1
1999,Paris SG,Metz,2,1
1999,Strasbourg,Montpellier,2,0
1999,Lyon,Rennes,2,2
1999,Marseille,St Etienne,3,3
1999,Le Havre,Sedan,2,1
1999,Metz,Lyon,0,1
1999,Montpellier,Monaco,2,3
1999,Paris SG,Auxerre,1,1
1999,Rennes,Bordeaux,2,1
1999,St Etienne,Nancy,2,1
1999,Troyes,Strasbourg,2,1
1999,Bastia,Nantes,2,1
1999,Lens,Marseille,0,0
1999,Auxerre,Le Havre,2,1
1999,Bordeaux,Metz,0,0
1999,Marseille,Bastia,1,1
1999,Nancy,Lens,2,1
1999,Nantes,Montpellier,3,0
1999,Sedan,St Etienne,3,2
1999,Strasbourg,Rennes,2,1
1999,Lyon,Paris SG,1,0
1999,Monaco,Troyes,3,0
1999,Bastia,Nancy,1,1
1999,Lens,Sedan,0,3
1999,Lyon,Auxerre,0,0
1999,Metz,Strasbourg,0,0
1999,Montpellier,Marseille,3,1
1999,St Etienne,Le Havre,3,3
1999,Troyes,Nantes,1,0
1999,Paris SG,Bordeaux,2,1
1999,Rennes,Monaco,2,1
1999,Auxerre,St Etienne,2,1
1999,Bordeaux,Lyon,1,3
1999,Le Havre,Lens,1,1
1999,Marseille,Troyes,1,0
1999,Monaco,Metz,2,2
1999,Nancy,Montpellier,1,2
1999,Nantes,Rennes,3,0
1999,Sedan,Bastia,2,0
1999,Strasbourg,Paris SG,1,1
1999,Bastia,Le Havre,1,1
1999,Bordeaux,Auxerre,1,0
1999,Lyon,Strasbourg,0,0
1999,Metz,Nantes,2,1
1999,Montpellier,Sedan,1,1
1999,Paris SG,Monaco,0,3
1999,Troyes,Nancy,2,0
1999,Lens,St Etienne,0,2
1999,Rennes,Marseille,1,2
1999,Le Havre,Montpellier,2,1
1999,Marseille,Metz,1,1
1999,Nancy,Rennes,3,0
1999,Sedan,Troyes,2,1
1999,St Etienne,Bastia,1,1
1999,Strasbourg,Bordeaux,2,2
1999,Auxerre,Lens,3,2
1999,Monaco,Lyon,1,0
1999,Nantes,Paris SG,0,4
1999,Lyon,Nantes,2,0
1999,Paris SG,Marseille,0,2
1999,Bastia,Lens,2,0
1999,Bordeaux,Monaco,3,2
1999,Metz,Nancy,2,2
1999,Montpellier,St Etienne,0,1
1999,Rennes,Sedan,5,0
1999,Strasbourg,Auxerre,1,3
1999,Troyes,Le Havre,3,1
1999,Marseille,Lyon,0,1
1999,Auxerre,Bastia,3,1
1999,Le Havre,Rennes,0,1
1999,Lens,Montpellier,1,0
1999,Monaco,Strasbourg,3,0
1999,Nancy,Paris SG,1,1
1999,Nantes,Bordeaux,0,1
1999,St Etienne,Troyes,1,0
1999,Sedan,Metz,0,2
1999,Nantes,Monaco,0,3
1999,Sedan,Lyon,2,0
1999,Bordeaux,Marseille,2,1
1999,Rennes,St Etienne,4,1
1999,Lyon,Nancy,2,1
1999,Metz,Le Havre,3,0
1999,Montpellier,Bastia,1,1
1999,Paris SG,Sedan,3,2
1999,Strasbourg,Nantes,3,2
1999,Troyes,Lens,0,1
1999,Auxerre,Montpellier,2,1
1999,Bastia,Troyes,5,0
1999,Le Havre,Paris SG,3,1
1999,Marseille,Strasbourg,4,1
1999,Nancy,Bordeaux,2,2
1999,St Etienne,Metz,2,0
1999,Lens,Rennes,1,1
1999,Bordeaux,Sedan,1,1
1999,Paris SG,St Etienne,2,0
1999,Rennes,Bastia,0,0
1999,Strasbourg,Nancy,0,2
1999,Lyon,Le Havre,3,0
1999,Metz,Lens,0,0
1999,Monaco,Marseille,1,1
1999,Nantes,Auxerre,3,1
1999,Troyes,Montpellier,2,1
1999,Sedan,Strasbourg,2,1
1999,Auxerre,Troyes,0,1
1999,Bastia,Metz,0,0
1999,Le Havre,Bordeaux,3,0
1999,Lens,Paris SG,3,2
1999,Marseille,Nantes,1,1
1999,Montpellier,Rennes,1,2
1999,Nancy,Monaco,1,2
1999,St Etienne,Lyon,1,1
1999,Bordeaux,St Etienne,1,2
1999,Metz,Montpellier,2,2
1999,Paris SG,Bastia,2,0
1999,Rennes,Troyes,2,2
1999,Strasbourg,Le Havre,0,1
1999,Lyon,Lens,1,0
1999,Marseille,Auxerre,0,1
1999,Monaco,Sedan,2,1
1999,Nantes,Nancy,2,0
1999,Le Havre,Monaco,1,4
1999,Montpellier,Paris SG,0,1
1999,Nancy,Marseille,2,2
1999,Rennes,Auxerre,1,0
1999,St Etienne,Strasbourg,0,1
1999,Troyes,Metz,2,2
1999,Bastia,Lyon,3,0
1999,Lens,Bordeaux,3,3
1999,Sedan,Nantes,0,0
1999,Monaco,Auxerre,2,0
1999,Bordeaux,Montpellier,2,0
1999,Lyon,Troyes,1,3
1999,Marseille,Le Havre,2,0
1999,Nancy,Sedan,0,2
1999,Nantes,St Etienne,0,1
1999,Strasbourg,Bastia,2,0
1999,Auxerre,Metz,1,1
1999,Monaco,Lens,2,0
1999,Paris SG,Rennes,1,0
1999,Le Havre,Nancy,0,1
1999,Montpellier,Strasbourg,1,1
1999,Rennes,Lyon,1,2
1999,Sedan,Auxerre,1,1
1999,Troyes,Bordeaux,2,0
1999,Bastia,Monaco,1,0
1999,Metz,Paris SG,1,3
1999,St Etienne,Marseille,5,1
1999,Lens,Nantes,1,2
1999,Auxerre,Paris SG,1,0
1999,Bordeaux,Rennes,1,0
1999,Lyon,Metz,2,0
1999,Marseille,Lens,1,2
1999,Monaco,Montpellier,1,0
1999,Nancy,St Etienne,1,0
1999,Nantes,Bastia,1,1
1999,Metz,Bordeaux,2,1
1999,Paris SG,Lyon,2,2
1999,Bastia,Marseille,0,0
1999,Le Havre,Auxerre,0,0
1999,Lens,Nancy,0,1
1999,Montpellier,Nantes,3,0
1999,Rennes,Strasbourg,2,1
1999,St Etienne,Sedan,2,3
1999,Troyes,Monaco,1,4
1999,Auxerre,Lyon,2,0
1999,Le Havre,St Etienne,1,0
1999,Monaco,Rennes,3,1
1999,Nancy,Bastia,1,0
1999,Nantes,Troyes,3,0
1999,Sedan,Lens,0,0
1999,Strasbourg,Metz,1,1
1999,Bordeaux,Paris SG,1,1
1999,Marseille,Montpellier,0,0
1999,Sedan,Le Havre,0,1
1999,Strasbourg,Troyes,2,0
1999,Metz,Monaco,1,1
1999,Troyes,Marseille,1,2
1999,Bastia,Sedan,1,0
1999,Lens,Le Havre,4,0
1999,Lyon,Bordeaux,1,1
1999,Montpellier,Nancy,1,0
1999,Paris SG,Strasbourg,4,2
1999,Rennes,Nantes,0,0
1999,St Etienne,Auxerre,0,0
1999,Auxerre,Bordeaux,1,0
1999,Monaco,Paris SG,1,0
1999,Le Havre,Bastia,2,2
1999,Marseille,Rennes,1,1
1999,Nancy,Troyes,1,2
1999,Nantes,Metz,1,3
1999,Sedan,Montpellier,2,1
1999,St Etienne,Lens,0,2
1999,Strasbourg,Lyon,4,2
1999,Bastia,St Etienne,4,0
1999,Bordeaux,Strasbourg,3,0
1999,Lens,Auxerre,2,1
1999,Montpellier,Le Havre,0,0
1999,Paris SG,Nantes,0,0
1999,Rennes,Nancy,3,1
1999,Troyes,Sedan,0,2
1999,Lyon,Monaco,2,1
1999,Metz,Marseille,2,0
1999,Marseille,Paris SG,4,1
1999,Nantes,Lyon,6,1
1999,Auxerre,Strasbourg,0,1
1999,Le Havre,Troyes,2,0
1999,Lens,Bastia,4,0
1999,Monaco,Bordeaux,1,0
1999,Nancy,Metz,0,0
1999,Sedan,Rennes,2,1
1999,St Etienne,Montpellier,5,4
1999,Bastia,Auxerre,2,0
1999,Bordeaux,Nantes,3,0
1999,Lyon,Marseille,2,0
1999,Metz,Sedan,1,1
1999,Montpellier,Lens,1,1
1999,Paris SG,Nancy,1,1
1999,Rennes,Le Havre,2,1
1999,Troyes,St Etienne,0,1
1999,Strasbourg,Monaco,3,2
1999,Bastia,Montpellier,1,0
1999,Le Havre,Metz,1,0
1999,Marseille,Bordeaux,0,2
1999,Nantes,Strasbourg,3,1
1999,Sedan,Paris SG,1,1
1999,St Etienne,Rennes,1,0
1999,Auxerre,Monaco,0,2
1999,Lens,Troyes,0,1
1999,Nancy,Lyon,1,0
1999,Bordeaux,Nancy,2,1
1999,Metz,St Etienne,1,1
